GameID,Timestamp,Player,Faction,Turn Order,Game Score,Tournament Score,Map,Clearing Distribution,Deck,Undrafted Faction,Turn Timing,Dom/Coal,Season
DbInput!42235,2025-06-25 15:43:50.162147+00:00,deejaythink+9834,Underground Duchy,3,20,0,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Async,,M02
DbInput!42235,2025-06-25 15:43:50.162147+00:00,DarkOwl+5198,Riverfolk Company,2,12,0,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Async,,M02
DbInput!42235,2025-06-25 15:43:50.162147+00:00,Lufire+7855,Woodland Alliance,1,12,0,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Async,,M02
DbInput!42234,2025-06-25 15:39:53.277444+00:00,Tad604+8004,Lord of the Hundreds,4,16,0,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M02
DbInput!42234,2025-06-25 15:39:53.277444+00:00,TercMa+9283,Keepers in Iron,3,17,0,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M02
DbInput!42234,2025-06-25 15:39:53.277444+00:00,Rooted+4614,Woodland Alliance,2,9,0,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M02
DbInput!42234,2025-06-25 15:39:53.277444+00:00,KFull+1226,Underground Duchy,1,31,1,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M02
DbInput!42231,2025-06-25 04:21:50.936807+00:00,BinBad+6034,Woodland Alliance,2,13,0,Autumn,Random,Exiles and Partisans,Underground Duchy,Async,,M02
DbInput!42231,2025-06-25 04:21:50.936807+00:00,zedrike+6591,Corvid Conspiracy,3,29,0,Autumn,Random,Exiles and Partisans,Underground Duchy,Async,,M02
DbInput!42231,2025-06-25 04:21:50.936807+00:00,NotTheThreat+4569,Marquise de Cat,1,29,0,Autumn,Random,Exiles and Partisans,Underground Duchy,Async,,M02
DbInput!42231,2025-06-25 04:21:50.936807+00:00,Vagabond Glazer+6268,Lord of the Hundreds,4,30,1,Autumn,Random,Exiles and Partisans,Underground Duchy,Async,,M02
DbInput!42229,2025-06-24 23:05:33.828674+00:00,HobGungan+2914,Woodland Alliance,4,32,1,Autumn,Random,Standard,Lizard Cult,Async,,M02
DbInput!42229,2025-06-24 23:05:33.828674+00:00,DurunduBurundu+9380,Keepers in Iron,3,9,0,Autumn,Random,Standard,Lizard Cult,Async,,M02
DbInput!42229,2025-06-24 23:05:33.828674+00:00,Wriggleroom+4502,Eyrie Dynasties,2,26,0,Autumn,Random,Standard,Lizard Cult,Async,,M02
DbInput!42229,2025-06-24 23:05:33.828674+00:00,Gregoola+1424,Underground Duchy,1,26,0,Autumn,Random,Standard,Lizard Cult,Async,,M02
